,station,model,abs_error,squared_error,r2,last-updated
64,18.0,weekday,1.6118376798139704,2.555822271607755,0.8527025474159207,2019-04-16
65,18.0,weekend,2.055559966391633,3.2831226604886212,0.8535143709762674,2019-04-16
66,23.0,weekday,2.277687850713186,3.7046569709991175,0.8561932921768809,2019-04-16
67,23.0,weekend,2.1714063571968163,3.5411702056357535,0.8093784691094686,2019-04-16
68,41.0,weekday,1.065761577327285,1.6949169317733006,0.8386419400039532,2019-04-16
69,41.0,weekend,0.7013711985930736,1.4775226433502304,0.7790249768573172,2019-04-16
70,48.0,weekday,2.3948044628232936,3.851159061008239,0.9079958238669313,2019-04-16
71,48.0,weekend,1.92380237010966,3.0864528023556286,0.8370341033768696,2019-04-16
72,50.0,weekday,1.5878993746809997,2.6582391483357366,0.9555227827076438,2019-04-16
73,50.0,weekend,1.3248388378015055,2.196383478331114,0.8879026624085681,2019-04-16
74,104.0,weekday,1.2642610489619392,2.2496934929895516,0.8405450745268956,2019-04-16
75,104.0,weekend,1.1552429296066253,2.1446127798106676,0.7030831871867049,2019-04-16
76,15.0,weekday,0.9862856486607654,1.617449054141154,0.8018692610833753,2019-04-16
77,15.0,weekend,0.5986731875466466,0.9788631861173059,0.7517744705200847,2019-04-16
78,29.0,weekday,1.5154235242970573,2.411030970255382,0.8149715659038836,2019-04-16
79,29.0,weekend,1.8175392233879903,3.0027035326621405,0.7886072062216694,2019-04-16
80,4.0,weekday,1.0164695329566862,1.6701196975063282,0.7611675725115767,2019-04-16
81,4.0,weekend,1.088506052910053,2.010964191842387,0.9050796212764128,2019-04-16
82,92.0,weekday,1.9455513005027776,3.7035146635161227,0.9460343647938247,2019-04-16
83,92.0,weekend,1.5424266241002313,2.5225002551974307,0.865423700765899,2019-04-16
84,16.0,weekday,1.5960085697193058,2.5394306814863423,0.8119181708030723,2019-04-16
85,16.0,weekend,1.7878313665223664,2.8527914456590633,0.7838868354177053,2019-04-16
86,93.0,weekday,1.6063833581842601,3.881395660640034,0.9502674355572763,2019-04-16
87,93.0,weekend,1.3331195031055902,2.2893759024092204,0.8018193712930566,2019-04-16
88,96.0,weekday,1.0604248951876687,2.058085544926709,0.8812028477016227,2019-04-16
